Region,Quartile,Without SSL (pub),1024 (RSA) (pub),2048 (RSA) (pub),3072 (RSA) (pub),256 (ECC) (pub),4096 (RSA) (pub),384 (ECC) (pub),Without SSL (pvt),1024 (RSA) (pvt),2048 (RSA) (pvt),3072 (RSA) (pvt),256 (ECC) (pvt),4096 (RSA) (pvt),384 (ECC) (pvt)
Utah,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,9.090909090909092,0.0
Michigan,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78787878787878,3.0303030303030303,12.121212121212121,6.0606060606060606,0.0
Iowa,4,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,90.32258064516128,6.451612903225806,3.225806451612903,0.0,0.0
Nebraska,4,0.0,0.0,71.42857142857143,0.0,28.57142857142857,0.0,0.0,0.0,0.0,92.85714285714286,0.0,7.142857142857142,0.0,0.0
District of Columbia,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,9.090909090909092,0.0,0.0
Nevada,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
North Dakota,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Rhode Island,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
South Carolina,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,0.0,0.0
Alaska,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Idaho,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Arizona,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529411764706,11.76470588235294,0.0,0.0,0.0
Delaware,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0
Wyoming,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,0.5328596802841918,0.0,84.36944937833037,0.0,2.3090586145648313,11.190053285968029,1.5985790408525755,0.5681818181818182,0.07102272727272728,85.6534090909091,1.278409090909091,8.167613636363637,3.90625,0.35511363636363635
